Iata,Icao,Region,Municipality,Name,IsHub,Latitude,Longitude,Elevation,Type,RunwayLength,RunwayCount,Slots,Passengers,WikiURL,Spalte1,Spalte2,Spalte3,Spalte4
CKG,ZUCK,CN-50,Chongqing,Chongqing Jiangbei International Airport,0,29.71920013,106.6419983,1365,L,3200,1,5,13728,http://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport,,,,
CKH,UESO,RU-SA,Chokurdah,Chokurdakh Airport,0,70.62310028,147.9019928,151,M,3000,1,5,5364,http://en.wikipedia.org/wiki/Chokurdakh_Airport,,,,
CKS,SBCJ,BR-PA,Parauapebas,Caraj?ís Airport,0,-6.115277767,-50.00138855,2064,M,6562,1,8,1708,http://en.wikipedia.org/wiki/Caraj%C3%A1s_Airport,,,,
CKW,YCHK,AU-WA,Christmas Creek Mine,Graeme Rowley Aerodrome,0,-22.3543,119.6426,1462,M,2500,1,5,7087,https://en.wikipedia.org/wiki/Graeme_Rowley_Aerodrome,,,,
CKY,GUCY,GN-C,Conakry,Conakry International Airport,0,9.57689,-13.612,72,M,10826,1,12,1687,http://en.wikipedia.org/wiki/Conakry_International_Airport,,,,
CKZ,LTBH,TR-17,?çanakkale,?çanakkale Airport,0,40.13769913,26.42679977,23,M,5905,1,7,1729,http://en.wikipedia.org/wiki/%C3%87anakkale_Airport,,,,
CLJ,LRCL,RO-CJ,Cluj-Napoca,Cluj-Napoca International Airport,0,46.78519821,23.68619919,1036,M,6693,2,11,2275,http://en.wikipedia.org/wiki/Cluj-Napoca_International_Airport,,,,
CLL,KCLL,US-TX,College Station,Easterwood Field,0,30.58860016,-96.36380005,320,M,7000,3,15,2375,http://en.wikipedia.org/wiki/Easterwood_Airport,,,,
CLM,KCLM,US-WA,Port Angeles,William R Fairchild International Airport,0,48.12020111,-123.5,291,M,6347,2,11,1958,http://en.wikipedia.org/wiki/William_R._Fairchild_International_Airport,,,,
CLO,SKCL,CO-VAC,Cali,Alfonso Bonilla Aragon International Airport,0,3.54322,-76.3816,3162,M,9842,1,11,2656,http://en.wikipedia.org/wiki/Alfonso_Bonilla_Arag%C3%B3n_International_Airport,,,,
CLQ,MMIA,MX-COL,Colima,Licenciado Miguel de la Madrid Airport,0,19.277,-103.577002,2467,M,7546,1,9,2041,http://en.wikipedia.org/wiki/Lic._Miguel_de_la_Madrid_Airport,,,,
CLY,LFKC,FR-H,Calvi/Sainte-Catherine,Calvi-Sainte-Catherine Airport,0,42.5244444,8.7930556,209,M,7579,1,9,2166,http://en.wikipedia.org/wiki/Calvi_-_Sainte-Catherine_Airport,,,,
CMA,YCMU,AU-QLD,,Cunnamulla Airport,0,-28.03000069,145.621994,630,M,1733,2,5,9465,http://en.wikipedia.org/wiki/Cunnamulla_Airport,,,,
CME,MMCE,MX-CAM,Ciudad del Carmen,Ciudad del Carmen International Airport,0,18.65369987,-91.7990036,10,M,7218,1,8,2312,http://en.wikipedia.org/wiki/Ciudad_del_Carmen_International_Airport,,,,
CMF,LFLB,FR-V,Chamb??ry/Aix-les-Bains,Chamb??ry-Savoie Airport,0,45.63809967,5.88022995,779,M,6628,1,8,2145,http://en.wikipedia.org/wiki/Chamb%C3%A9ry_Airport,,,,
CMG,SBCR,BR-MS,Corumb?í,Corumb?í International Airport,0,-19.01194382,-57.67139053,461,M,5446,1,7,2354,http://en.wikipedia.org/wiki/Corumb%C3%A1_International_Airport,,,,
CMI,KCMI,US-IL,Champaign/Urbana,University of Illinois Willard Airport,0,40.03919983,-88.27809906,755,M,8100,4,18,1937,http://en.wikipedia.org/wiki/University_of_Illinois_Willard_Airport,,,,
CMU,AYCH,PG-CPK,Kundiawa,Chimbu Airport,0,-6.024290085,144.970993,4974,M,3330,1,5,1958,http://en.wikipedia.org/wiki/Chimbu_Airport,,,,
CMW,MUCM,CU-09,Camaguey,Ignacio Agramonte International Airport,0,21.42029953,-77.84750366,413,M,9842,1,11,1708,http://en.wikipedia.org/wiki/Ignacio_Agramonte_International_Airport,,,,
CMX,KCMX,US-MI,Hancock,Houghton County Memorial Airport,0,47.16839981,-88.4890976,1095,M,6501,2,11,1708,http://en.wikipedia.org/wiki/Houghton_County_Memorial_Airport,,,,
CND,LRCK,RO-CT,Constan?úa,Mihail Kog?âlniceanu International Airport,0,44.36220169,28.48830032,353,M,11483,1,12,2187,http://en.wikipedia.org/wiki/Mihail_Kog%C4%83lniceanu_International_Airport,,,,
CNF,SBCF,BR-MG,Belo Horizonte,Tancredo Neves International Airport,0,-19.62444305,-43.9719429,2715,L,9843,1,12,11343,http://en.wikipedia.org/wiki/Tancredo_Neves_International_Airport,,,,
CNJ,YCCY,AU-QLD,Cloncurry,Cloncurry Airport,0,-20.66860008,140.5039978,616,M,2000,2,5,8754,http://en.wikipedia.org/wiki/Cloncurry_Airport,,,,
CNL,EKSN,DK-81,Sindal,Sindal Airport,0,57.50350189,10.22939968,92,M,3934,1,6,2125,0,,,,
CNM,KCNM,US-NM,Carlsbad,Cavern City Air Terminal,0,32.33750153,-104.2630005,3295,M,7854,4,17,2333,http://en.wikipedia.org/wiki/Cavern_City_Air_Terminal,,,,
CNQ,SARC,AR-W,Corrientes,Corrientes Airport,0,-27.4455,-58.7619,202,M,6890,1,8,1687,0,,,,
CNS,YBCS,AU-QLD,Cairns,Cairns International Airport,0,-16.88579941,145.7550049,10,M,3197,2,5,2471,http://en.wikipedia.org/wiki/Cairns_International_Airport,,,,
COO,DBBB,BJ-AQ,Cotonou,Cadjehoun Airport,0,6.357230186,2.384350061,19,M,7874,1,10,4484,http://en.wikipedia.org/wiki/Cadjehoun_Airport,,,,
COR,SACO,AR-X,Cordoba,Ingeniero Ambrosio Taravella Airport,0,-31.323601,-64.208,1604,M,10499,2,14,2166,http://en.wikipedia.org/wiki/Ingeniero_Ambrosio_L.V._Taravella_International_Airport,,,,
COU,KCOU,US-MO,Columbia,Columbia Regional Airport,0,38.81809998,-92.21959686,889,M,6501,2,12,2187,http://en.wikipedia.org/wiki/Columbia_Regional_Airport,,,,
COX,MYAK,BS-KB,Andros,Congo Town Airport,0,24.15870094,-77.58979797,15,M,5300,1,7,2250,0,,,,
CPC,SAZY,AR-Q,Chapelco/San Martin de los Andes,Aviador C. Campos Airport,0,-40.07540131,-71.13729858,2569,M,8202,1,9,1750,0,,,,
CPE,MMCP,MX-CAM,Campeche,Ingeniero Alberto Acu??a Ongay International Airport,0,19.81679916,-90.50029755,34,M,8202,1,9,2166,http://en.wikipedia.org/wiki/Ing._Alberto_Acu%C3%B1a_Ongay_International_Airport,,,,
CPO,SCAT,CL-AT,Copiapo,Desierto de Atacama Airport,0,-27.26119995,-70.77919769,670,M,7218,1,8,1895,http://en.wikipedia.org/wiki/Desierto_de_Atacama_Airport,,,,
CPV,SBKG,BR-PB,Campina Grande,Presidente Jo?úo Suassuna Airport,0,-7.269919872,-35.89640045,1646,M,5249,1,7,2166,0,,,,
CRC,SKGO,CO-VAC,Cartago,Santa Ana Airport,0,4.75818,-75.9557,2979,M,7218,1,9,1875,http://en.wikipedia.org/wiki/Santa_Ana_Airport_(Colombia),,,,
CRD,SAVC,AR-U,Comodoro Rivadavia,General E. Mosconi Airport,0,-45.7853,-67.4655,189,M,9219,1,10,2354,0,,,,
CRI,MYCI,BS-AC,Colonel Hill,Colonel Hill Airport,0,22.74559975,-74.18240356,5,M,4061,1,5,2166,http://en.wikipedia.org/wiki/Colonial_Hill_Airport,,,,
CRL,EBCI,BE-WHT,Brussels,Brussels South Charleroi Airport,0,50.459202,4.45382,614,L,8366,1,10,20125,http://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport,,,,
CRM,RPVF,PH-NSA,Catarman,Catarman National Airport,0,12.5024004,124.6360016,6,M,4429,1,6,1958,http://en.wikipedia.org/wiki/Catarman_National_Airport,,,,
CRV,LIBC,IT-78,Crotone,Crotone Airport,0,38.9972,17.0802,522,M,6562,1,8,1916,http://en.wikipedia.org/wiki/Crotone_Airport,,,,
CSG,KCSG,US-GA,Columbus,Columbus Metropolitan Airport,0,32.5163002,-84.93890381,397,M,6997,2,12,2020,http://en.wikipedia.org/wiki/Columbus_Metropolitan_Airport,,,,
CSH,ULAS,RU-ARK,Solovetsky Islands,Solovki Airport,0,65.02999878,35.73333359,60,M,3000,1,5,4358,http://en.wikipedia.org/wiki/Solovki_Airport,,,,
CSK,GOGS,SN-ZG,Cap Skirring,Cap Skirring Airport,0,12.39533,-16.748,52,M,6573,1,8,2208,http://en.wikipedia.org/wiki/Cap_Skirring_Airport,,,,
CSX,ZGHA,CN-43,Changsha,Changsha Huanghua International Airport,0,28.18919945,113.2200012,217,L,2600,1,5,22250,http://en.wikipedia.org/wiki/Changsha_Huanghua_International_Airport,,,,
CSY,UWKS,RU-CU,Cheboksary,Cheboksary Airport,0,56.09030151,47.34730148,558,M,2512,2,5,1544,http://en.wikipedia.org/wiki/Cheboksary_Airport,,,,
CTA,LICC,IT-82,Catania,Catania-Fontanarossa Airport,0,37.466801,15.0664,39,L,7989,1,10,21562,http://en.wikipedia.org/wiki/Catania-Fontanarossa_Airport,,,,
CTC,SANC,AR-K,Catamarca,Catamarca Airport,0,-28.59560013,-65.75170136,1522,M,9186,1,10,2395,0,,,,
CTD,MPCE,PA-6,Chitr??,Alonso Valderrama Airport,0,7.987840176,-80.40969849,33,M,4921,1,6,1937,0,,,,
CTM,MMCM,MX-ROO,Chetumal,Chetumal International Airport,0,18.50469971,-88.32679749,39,M,7244,1,8,1708,http://en.wikipedia.org/wiki/Chetumal_International_Airport,,,,
CTN,YCKN,AU-QLD,,Cooktown Airport,0,-15.44470024,145.1840057,26,M,1627,1,5,5010,http://en.wikipedia.org/wiki/Cooktown_Airport,,,,
CTU,ZUUU,CN-51,Chengdu,Chengdu Shuangliu International Airport,0,30.57850075,103.9469986,1625,L,3600,1,5,15542,http://en.wikipedia.org/wiki/Chengdu_Shuangliu_International_Airport,,,,
CUA,MMDA,MX-BCS,Ciudad Constituci??n,Ciudad Constituci??n Airport,0,25.05380058,-111.6149979,213,M,5249,1,6,2250,http://en.wikipedia.org/wiki/Ciudad_Constituci%C3%B3n_Airport,,,,
CUC,SKCC,CO-NSA,C??cuta,Camilo Daza International Airport,0,7.92757,-72.5115,1096,M,7700,2,12,1979,http://en.wikipedia.org/wiki/Camilo_Daza_International_Airport,,,,
CUE,SECU,EC-A,Cuenca,Mariscal Lamar Airport,0,-2.8894701,-78.98439789,8306,M,6234,1,8,1708,0,,,,
CUF,LIMZ,IT-21,Cuneo,Cuneo International Airport,0,44.547001,7.62322,1267,M,6903,1,8,1750,http://en.wikipedia.org/wiki/Cuneo_International_Airport,,,,
CUL,MMCL,MX-SIN,Culiac?ín,Bachigualato Federal International Airport,0,24.76449966,-107.4749985,108,M,7546,1,9,2270,http://en.wikipedia.org/wiki/Bachigualato_Federal_International_Airport,,,,
CUU,MMCU,MX-CHH,Chihuahua,General Roberto Fierro Villalobos International Airport,0,28.70289993,-105.9649963,4462,M,8530,3,15,2229,http://en.wikipedia.org/wiki/General_Roberto_Fierro_Villalobos_International_Airport,,,,
CVJ,MMCB,MX-MOR,,General Mariano Matamoros Airport,0,18.83480072,-99.26129913,4277,M,9439,1,10,1875,http://en.wikipedia.org/wiki/General_Mariano_Matamoros_Airport,,,,
CVM,MMCV,MX-TAM,Ciudad Victoria,General Pedro Jose Mendez International Airport,0,23.70330048,-98.95649719,761,M,7218,2,11,2083,http://en.wikipedia.org/wiki/General_Pedro_J._M%C3%A9ndez_International_Airport,,,,
CVQ,YCAR,AU-WA,Carnarvon,Carnarvon Airport,0,-24.880211,113.67174,13,M,1679,2,5,2630,https://en.wikipedia.org/wiki/Carnarvon_Airport_(Western_Australia),,,,
CWJ,ZPCW,CN-53,Cangyuan Va Autonomous County,Cangyuan Washan Airport,0,23.273889,99.373611,0,M,2600,1,5,1884,https://en.wikipedia.org/wiki/Cangyuan_Washan_Airport,,,,
CWL,EGFF,GB-WLS,Cardiff,Cardiff International Airport,0,51.39670181,-3.343329906,220,L,7848,1,10,6133,http://en.wikipedia.org/wiki/Cardiff_International_Airport,,,,
CXI,PLCH,KI-L,Banana,Cassidy International Airport,0,1.98616004,-157.3500061,5,M,6900,1,8,2333,http://en.wikipedia.org/wiki/Cassidy_International_Airport,,,,
CXJ,SBCX,BR-RS,Caxias Do Sul,Hugo Cantergiani Regional Airport,0,-29.19709969,-51.1875,2472,M,5479,1,7,1895,http://en.wikipedia.org/wiki/Caxias_do_Sul_Airport,,,,
CYA,MTCA,HT-SD,Les Cayes,Les Cayes Airport,0,18.27109909,-73.78829956,203,M,3220,1,5,2208,http://en.wikipedia.org/wiki/Les_Cayes_Airport,,,,
CYB,MWCB,KY-U-A,Cayman Brac,Gerrard Smith International Airport,0,19.68700027,-79.88279724,8,M,6000,1,8,2166,http://en.wikipedia.org/wiki/Gerrard_Smith_International_Airport,,,,
CYI,RCKU,TW-CYQ,Chiayi City,Chiayi Airport,0,23.46179962,120.3929977,85,M,10007,3,16,1979,http://en.wikipedia.org/wiki/Chiayi_Airport,,,,
CYO,MUCL,CU-99,Cayo Largo del Sur,Vilo Acu??a International Airport,0,21.61650085,-81.54599762,10,M,9869,1,11,1958,http://en.wikipedia.org/wiki/Vilo_Acu%C3%B1a_Airport,,,,
CYP,RPVC,PH-WSA,Calbayog City,Calbayog Airport,0,12.07269955,124.5449982,12,M,4843,1,6,2062,http://en.wikipedia.org/wiki/Calbayog_Airport,,,,
CYS,KCYS,US-WY,Cheyenne,Cheyenne Regional Jerry Olson Field,0,41.15570068,-104.8119965,6159,M,9267,2,14,2229,http://en.wikipedia.org/wiki/Cheyenne_Regional_Airport,,,,
CYW,MMCY,MX-GUA,Celaya,Captain Rogelio Castillo National Airport,0,20.546,-100.887001,5709,M,6284,1,7,2333,http://en.wikipedia.org/wiki/Captain_Rogelio_Castillo_National_Airport,,,,
CYX,UESS,RU-SA,Cherskiy,Cherskiy Airport,0,68.74060059,161.3379974,20,M,2900,1,5,9540,http://en.wikipedia.org/wiki/Chersky_Airport,,,,
CYZ,RPUY,PH-ISA,Cauayan City,Cauayan Airport,0,16.92989922,121.7529984,200,M,6890,1,8,2229,http://en.wikipedia.org/wiki/Cauayan_Airport,,,,
CZL,DABC,DZ-25,Constantine,Mohamed Boudiaf International Airport,0,36.27600098,6.620389938,2265,M,9843,2,13,1770,http://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,,,,
CZM,MMCZ,MX-ROO,Cozumel,Cozumel International Airport,0,20.5223999,-86.92559814,15,M,10165,2,14,2250,http://en.wikipedia.org/wiki/Cozumel_International_Airport,,,,
CZS,SBCZ,BR-AC,Cruzeiro Do Sul,Cruzeiro do Sul Airport,0,-7.599909782,-72.76950073,637,M,7874,1,9,2041,http://en.wikipedia.org/wiki/Cruzeiro_do_Sul_International_Airport,,,,
CZU,SKCZ,CO-SUC,Corozal,Las Brujas Airport,0,9.33274,-75.2856,528,M,4930,1,7,1875,http://en.wikipedia.org/wiki/Las_Brujas_Airport_(Colombia),,,,
CZX,ZSCG,CN-32,Changzhou,Changzhou Benniu Airport,0,31.919701,119.778999,0,M,3300,1,5,5795,https://en.wikipedia.org/wiki/Changzhou_Benniu_Airport,,,,
DAT,ZBDT,CN-14,Datong,Datong Airport,0,40.060299,113.482002,3442,M,3200,1,5,2844,https://en.wikipedia.org/wiki/Datong_Yungang_Airport,,,,
DAU,AYDU,PG-WPD,Daru,Daru Airport,0,-9.086759567,143.2079926,20,M,4593,1,6,1750,http://en.wikipedia.org/wiki/Daru_Airport,,,,
DAV,MPDA,PA-4,David,Enrique Malek International Airport,0,8.390999794,-82.43499756,89,M,6890,1,9,2291,http://en.wikipedia.org/wiki/Enrique_Malek_International_Airport,,,,
DAX,ZUDX,CN-51,Dazhou,Dachuan Airport,0,31.1302,107.4295,0,M,2500,1,5,6200,http://en.wikipedia.org/wiki/Daxian_Airport,,,,
DBO,YSDU,AU-NSW,Dubbo,Dubbo City Regional Airport,0,-32.21670151,148.5749969,935,M,1708,2,5,6308,http://en.wikipedia.org/wiki/Dubbo_Airport,,,,
DBV,LDDU,HR-19,Dubrovnik,Dubrovnik Airport,0,42.56140137,18.26819992,527,M,10827,1,12,5437,http://en.wikipedia.org/wiki/Dubrovnik_Airport,,,,
DCM,LFCK,FR-N,Castres/Mazamet,Castres-Mazamet Airport,0,43.55630112,2.28918004,788,M,5988,1,7,1791,http://en.wikipedia.org/wiki/Castres-Mazamet_Airport,,,,
DCY,ZUDC,CN-51,Daocheng County,Daocheng Yading Airport,0,29.323056,100.053333,14472,M,4200,1,5,6430,https://en.wikipedia.org/wiki/Daocheng_Yading_Airport,,,,
DDC,KDDC,US-KS,Dodge City,Dodge City Regional Airport,0,37.76340103,-99.96559906,2594,M,6899,2,11,1750,http://en.wikipedia.org/wiki/Dodge_City_Regional_Airport,,,,
DDG,ZYDD,CN-21,Dandong,Dandong Airport,0,40.0247,124.286003,30,M,3500,1,5,5122,http://en.wikipedia.org/wiki/Dandong_Airport,,,,
DEA,OPDG,PK-PB,Dera Ghazi Khan,Dera Ghazi Khan Airport,0,29.96100044,70.48590088,492,M,6499,1,8,2291,http://en.wikipedia.org/wiki/Dera_Ghazi_Khan_Airport,,,,
DEB,LHDC,HU-HB,Debrecen,Debrecen International Airport,0,47.48889923,21.61529922,359,M,8196,2,12,2187,http://en.wikipedia.org/wiki/Debrecen_International_Airport,,,,
DEC,KDEC,US-IL,Decatur,Decatur Airport,0,39.83459854,-88.86569977,682,M,8496,3,16,1812,http://en.wikipedia.org/wiki/Decatur_Airport,,,,
DEZ,OSDZ,SY-DY,Deir ez-Zor,Deir ez-Zor Air Base,0,35.2854,40.175999,700,M,11000,3,16,2125,http://en.wikipedia.org/wiki/Deir_ez-Zor_Airport,,,,
DGO,MMDO,MX-DUR,Durango,General Guadalupe Victoria International Airport,0,24.12420082,-104.5279999,6104,M,9514,1,10,2395,http://en.wikipedia.org/wiki/General_Guadalupe_Victoria_International_Airport,,,,
DGT,RPVD,PH-NER,Dumaguete City,Sibulan Airport,0,9.333709717,123.3000031,15,M,6136,1,7,2375,http://en.wikipedia.org/wiki/Sibulan_Airport,,,,
DHN,KDHN,US-AL,Dothan,Dothan Regional Airport,0,31.32130051,-85.44960022,401,M,8498,2,14,1937,http://en.wikipedia.org/wiki/Dothan_Regional_Airport,,,,
DIE,FMNA,MG-D,,Arrachart Airport,0,-12.34939957,49.29169846,374,M,4921,1,7,2395,http://en.wikipedia.org/wiki/Arrachart_Airport,,,,
DIG,ZPDQ,CN-53,Shangri-La,Diqing Airport,0,27.7936,99.6772,10761,M,3200,1,5,4451,http://en.wikipedia.org/wiki/Diqing_Airport,,,,
DIJ,LFSD,FR-D,Dijon/Longvic,Dijon-Bourgogne Airport,0,47.268902,5.09,726,M,7874,2,12,2000,https://fr.wikipedia.org/wiki/A%C3%A9roport_de_Dijon-Bourgogne,,,,
DIR,HADR,ET-DD,Dire Dawa,Aba Tenna Dejazmach Yilma International Airport,0,9.624699593,41.85419846,3827,M,8791,1,10,1937,http://en.wikipedia.org/wiki/Aba_Tenna_Dejazmach_Yilma_International_Airport,,,,
DIS,FCPL,CG-9,Dolisie,Ngot Nzoungou Airport,0,-4.20635,12.6599,1079,M,6725,1,8,1937,http://en.wikipedia.org/wiki/Dolisie_Airport,,,,
DIY,LTCC,TR-21,Diyarbakir,Diyarbakir Airport,0,37.89390183,40.20100021,2251,M,11644,1,13,2041,http://en.wikipedia.org/wiki/Diyarbak%C4%B1r_Airport,,,,
DJE,DTTJ,TN-82,Djerba,Djerba Zarzis International Airport,0,33.875,10.7755003,19,M,10171,1,11,3507,http://en.wikipedia.org/wiki/Djerba-Zarzis_Airport,,,,
DJG,DAAJ,DZ-33,Djanet,Djanet Inedbirene Airport,0,24.292801,9.45244,3176,M,9843,2,13,1875,http://en.wikipedia.org/wiki/Djanet_Inedbirene_Airport,,,,
DLA,FKKD,CM-LT,Douala,Douala International Airport,0,4.006080151,9.719479561,33,M,9350,1,10,4515,http://en.wikipedia.org/wiki/Douala_International_Airport,,,,
DLC,ZYTL,CN-21,Dalian,Zhoushuizi Airport,0,38.96569824,121.5390015,107,L,3300,1,5,10603,http://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport,,,,
DLG,PADL,US-AK,Dillingham,Dillingham Airport,0,59.04470062,-158.5050049,81,M,6400,1,9,2291,http://en.wikipedia.org/wiki/Dillingham_Airport,,,,
DLM,LTBS,TR-48,Dalaman,Dalaman International Airport,0,36.71310043,28.79249954,20,L,9842,1,11,9618,http://en.wikipedia.org/wiki/Dalaman_Airport,,,,
DLU,ZPDL,CN-53,Xiaguan,Dali Airport,0,25.649401,100.319,7050,M,2900,1,5,6476,http://en.wikipedia.org/wiki/Dali_Airport,,,,
DMD,YDMG,AU-QLD,,Doomadgee Airport,0,-17.94029999,138.8220062,153,M,1656,1,5,4824,0,,,,
DND,EGPN,GB-SCT,Dundee,Dundee Airport,0,56.45249939,-3.02583003,17,M,4593,1,6,1916,http://en.wikipedia.org/wiki/Dundee_Airport,,,,
DNH,ZLDH,CN-62,Dunhuang,Dunhuang Airport,0,40.16109848,94.80919647,0,M,2800,1,5,4083,http://en.wikipedia.org/wiki/Dunhuang_Airport,,,,
DNR,LFRD,FR-E,Dinard/Pleurtuit/Saint-Malo,Dinard-Pleurtuit-Saint-Malo Airport,0,48.58769989,-2.079960108,219,M,7218,2,11,2187,http://en.wikipedia.org/wiki/Dinard_-_Pleurtuit_-_Saint-Malo_Airport,,,,
DNZ,LTAY,TR-20,Denizli,?çardak Airport,0,37.78559875,29.70129967,2795,M,9842,1,11,1958,http://en.wikipedia.org/wiki/%C3%87ardak_Airport,,,,
DOG,HSDN,SD-01,Dongola,Dongola Airport,0,19.15390015,30.43009949,772,M,9843,1,10,1687,http://en.wikipedia.org/wiki/Dongola_Airport,,,,
DPL,RPMG,PH-ZAN,Dipolog City,Dipolog Airport,0,8.601983499,123.3418751,12,M,6273,1,7,1812,http://en.wikipedia.org/wiki/Dipolog_Airport,,,,
DPO,YDPO,AU-TAS,Devonport,Devonport Airport,0,-41.16970062,146.4299927,33,M,1838,2,5,7173,http://en.wikipedia.org/wiki/Devonport_Airport,,,,
DPT,UEBD,RU-SA,Deputatskiy,Deputatskiy Airport,0,69.392503,139.890012,950,M,3400,1,5,2544,https://en.wikipedia.org/wiki/Deputatsky_Airport,,,,
DQA,ZYDQ,CN-23,Daqing Shi,Saertu Airport,0,46.74638889,125.1405556,496,M,2700,1,5,7733,http://en.wikipedia.org/wiki/Daqing_Sartu_Airport,,,,
DQM,OM-0003,OM-WU,Duqm,Duqm International Airport,0,19.501944,57.634167,364,L,13123,1,13,3333,https://en.wikipedia.org/wiki/Duqm_Jaaluni_Airport,,,,
DRS,EDDC,DE-SN,Dresden,Dresden Airport,0,51.13280106,13.76720047,755,L,8228,1,10,4766,http://en.wikipedia.org/wiki/Dresden_Airport,,,,
DRW,YPDN,AU-NT,Darwin,Darwin International Airport,0,-12.41469955,130.8769989,103,M,3354,2,5,4427,http://en.wikipedia.org/wiki/Darwin_International_Airport,,,,
DSA,EGCN,GB-ENG,Doncaster,Robin Hood Doncaster Sheffield Airport,0,53.48053781,-1.010656357,55,L,9491,1,11,4666,http://en.wikipedia.org/wiki/Robin_Hood_Airport_Doncaster_Sheffield,,,,
DSK,OPDI,PK-NW,Dera Ismael Khan,Dera Ismael Khan Airport,0,31.90940094,70.89659882,594,M,5000,1,7,2208,http://en.wikipedia.org/wiki/Dera_Ismail_Khan_Airport,,,,
DSN,ZBDS,CN-15,Ordos,Ordos Ejin Horo Airport,0,39.49,109.8613889,4557,M,3300,1,5,5350,http://en.wikipedia.org/wiki/Ordos_Ejin_Horo_Airport,,,,
DSS,GOBD,SN-DK,Dakar,Diass-Thies Blaise Diagne International Airport,0,14.67,-17.07333333,290,L,11483,1,13,3791,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,,,,
DTM,EDLW,DE-NW,Dortmund,Dortmund Airport,0,51.5182991,7.612239838,425,L,6562,1,9,6256,http://en.wikipedia.org/wiki/Dortmund_Airport,,,,
DTU,ZYDU,CN-23,Wudalianchi,Wudalianchi Dedu Airport,0,48.445,126.133,984,M,2500,1,5,6105,https://en.wikipedia.org/wiki/Wudalianchi_Dedu_Airport,,,,
DUD,NZDN,NZ-OTA,Dunedin,Dunedin Airport,0,-45.92810059,170.197998,4,M,6234,1,8,2208,http://en.wikipedia.org/wiki/Dunedin_International_Airport,,,,
DUE,FNDU,AO-LNO,Chitato,Dundo Airport,0,-7.400889874,20.81850052,2451,M,6468,1,8,1979,http://en.wikipedia.org/wiki/Dundo_Airport,,,,
DUJ,KDUJ,US-PA,Dubois,DuBois Regional Airport,0,41.17829895,-78.8986969,1817,M,5504,1,8,2020,http://en.wikipedia.org/wiki/DuBois_Regional_Airport,,,,
DUR,FALE,ZA-NL,Durban,King Shaka International Airport,0,-29.61444444,31.11972222,295,L,12139,1,13,4375,http://en.wikipedia.org/wiki/King_Shaka_International_Airport,,,,
DUT,PADU,US-AK,Unalaska,Unalaska Airport,0,53.90010071,-166.5440063,22,M,3900,1,7,1750,http://en.wikipedia.org/wiki/Unalaska_Airport,,,,
DVO,RPMD,PH-DAV,Davao City,Francisco Bangoy International Airport,0,7.125520229,125.6460037,96,L,9842,1,11,3458,http://en.wikipedia.org/wiki/Francisco_Bangoy_International_Airport,,,,
DWC,OMDW,AE-DU,Jebel Ali,Al Maktoum International Airport,0,24.896356,55.161389,114,L,14764,1,15,11500,http://en.wikipedia.org/wiki/Al_Maktoum_International_Airport,,,,
DWD,OEDM,SA-01,Dawadmi,King Salman Abdulaziz Airport,0,24.4499,44.121201,3026,M,10006,1,11,1854,0,,,,
DYG,ZGDY,CN-43,Dayong,Dayong Airport,0,29.1028,110.443001,692,M,2700,1,5,3139,https://en.wikipedia.org/wiki/Zhangjiajie_Hehua_Airport,,,,
DYR,UHMA,RU-CHU,Anadyr,Ugolny Airport,0,64.734902,177.740997,194,M,3500,1,5,3216,http://en.wikipedia.org/wiki/Ugolny_Airport,,,,
DZA,FMCZ,YT-U-A,Dzaoudzi,Dzaoudzi Pamandzi International Airport,0,-12.8046999,45.28110123,23,M,6330,1,8,1666,http://en.wikipedia.org/wiki/Dzaoudzi_Pamandzi_International_Airport,,,,
EAM,OENG,SA-10,,Nejran Airport,0,17.6114006,44.4192009,3982,M,10007,1,11,2125,http://en.wikipedia.org/wiki/Najran_Domestic_Airport,,,,
EAS,LESO,ES-PV,Hondarribia,San Sebastian Airport,0,43.35649872,-1.790609956,16,M,5755,1,7,1937,http://en.wikipedia.org/wiki/San_Sebasti%C3%A1n_Airport,,,,
EAU,KEAU,US-WI,Eau Claire,Chippewa Valley Regional Airport,0,44.86579895,-91.48429871,913,M,8101,2,12,1958,http://en.wikipedia.org/wiki/Chippewa_Valley_Regional_Airport,,,,
EBA,LIRJ,IT-52,Marina  Di Campo,Marina Di Campo Airport,0,42.7603,10.2394,31,M,3114,1,5,1791,0,,,,
EBB,HUEN,UG-102,Kampala,Entebbe International Airport,0,0.042385999,32.44350052,3782,M,12000,2,15,4002,http://en.wikipedia.org/wiki/Entebbe_International_Airport,,,,
EBD,HSOB,SD-09,Al-Ubayyid,El Obeid Airport,0,13.15320015,30.23270035,1927,M,9843,1,10,2354,http://en.wikipedia.org/wiki/El_Obeid_Airport,,,,
EBJ,EKEB,DK-83,Esbjerg,Esbjerg Airport,0,55.525902,8.5534,97,M,8527,1,10,1895,http://en.wikipedia.org/wiki/Esbjerg_Airport,,,,
